,Gurmukhi, ,Shahmukhi,POS,English Meaning
,ੳ,,ا,"noun, masculine","first letter of Gurmukhi script used to form vowel ਉ /u/ as in pull, ਊ /u/ as in pool and ਓ /o/ as in pole"
,ਉਆਂ,,اُواں,"noun, feminine",sound of infant's cry
,ਉਸ,,اُس,pronoun,"that, he, she, it, in conjunctive modes of"
,ਉਸਤਤਉਸਤਤੀ,,اُستتاُستتی,"noun, feminine","praise, admiration, compliment, tribute, eulogy, laudation, encomium, panegyric; orison, prayer, hymn"
,ਉਸਤਤ ਕਰਨੀ,,اُستت کرنی,conjunct verb,"to praise, compliment, eulogise, laud, panegyrise; to pay tribute; to sing hymn or praises"
,ਉਸਤਰਾ,,اُسترا,"noun, masculine","razor; figurative usage a clever, smart or cunning person"
,ਉਸਤਰਾ ਫੇਰਨਾ,,اُسترا پھیرنا,phrase,"to shave; figurative usage to swindle, cheat, cozen, defraud"
,ਉਸਤਰਿਆਂ ਦੀ ਮਾਲ਼ਾ,,اُستریاں دی مالا,phrase,"a crown or bed of thorns, razor's edge, a difficult or hazardous job"
,ਉਸਤਾਦ,,اُستاد,"noun, masculine","teacher, tutor, instructor, master, master craftsman adjective skilful, expert, adept, adroit, dexterous, proficient; clever, shrewd; swindler, crafty"
,ਉਸਤਾਦੀ,,اُستادی,"noun, feminine","mastery, skill, expertness, expertise, adeptness,  adroitness, shrewdness, cunning, artfulness, craftiness"
,ਉਸਦਾ,,اُسدا,pronoun,"his, her, its; also ਉਹਦਾ "
,ਉਸਨੂੰ,,اُسنوں,pronoun,"him, her, it"
,ਉਸਨੇ,,اُسنے,pronoun,"he, she, it"
,ਉਸਰਈਆ,,اُسرئیا,"noun, masculine","builder, maker, founder"
,ਉੱਸਰਨਾ,,اُسّرنا,"verb, intransitive","to be built, come up, be constructed, grow, develop; to be strengthened or augmented"
,ਉੱਸਰਵਾਂ,,اُسّرواں,"adjective, masculine","being built up, rising"
,ਉਸਰਵਾਉਣਾ,,اُسرواؤنا,"verb, transitive",to get something built or constructed
,ਉੱਸਲ਼ਵੱਟ,,اُسّلوٹّ,"noun, masculine","wriggling or writhing motion, tossing and turning, uneasiness, restlessness"
,ਉੱਸਲ਼ਵੱਟ ਲੈਣੇ,,اُسّلوٹّ لینے,conjunct verb,"to toss and turn, wriggle and writhe, feel uneasy or restless, squirm"
,ਉਸਾਰਨਾ,,اُسارنا,"verb, transitive","to build, construct, raise, build up; to strengthen, augment"
,ਉਸਾਰੀ,,اُساری,"noun, feminine","process of ਉਸਾਰਨਾ , construction"
,ਉਸੇ,,اُسے,pronoun,"he, she, himself, herself"
,ਉਸ਼ਕਲ,,اُشکل,"noun, feminine","incitement, instigation, prompting; impulse, sudden inclination to action"
,ਉਸ਼ਕਲ ਆਉਣੀ,,اُشکل آؤنی,conjunct verb,to feel impulse or urge to action
,ਉਸ਼ਕਲ ਦੇਣੀ,,اُشکل دینی,conjunct verb,"to incite, instigate, prompt, motivate, urge"
,ਉਸ਼ਟੰਡ,,اُشٹنڈ,"noun, masculine","stunt, hoax, sham, trick"
,ਉਸ਼ਟੰਡੀ,,اُشٹنڈی,"adjective, masculine","sham; trickster, hoaxer, impostor"
,ਉਸ਼ਬਾ,,اُشبا,"noun, masculine",sarsaparilla
,ਉਸ਼ਾ,,اُشا,"noun, feminine","dawn, morning, light, daybreak"
,ਉਸ਼ੇਰ,,اُشیر,"noun, feminine","dawn, morning light, daybreak"
,ਉਸ਼ੇਰ ਸਾਰ,,اُشیر سار,adverb,"at dawn, at daybreak"
,ਉਹ,,اوہ,pronoun,"he, she, it, they, that, those;  same as ਉਸ , also ਓਹ"
,ਉਹ ਹੋ,,اوہ ہو,interjection,oh!
,ਉਹ ਜਾਣੇ,,اوہ جانے,interjection,"never mind, it is all right, don't bother"
,ਉਹਨਾਂ,,اُہناں,pronoun,they
,ਉਕਸਾਉਣਾ,,اُکساؤنا,"verb, transitive","to incite, excite, instigate, encourage, abet, motivate, stimulate, prompt; to provoke"
,ਉਕਸਾਊ,,اُکساؤ,adjective,"motivating, stimulating, inciting, exciting; provocative"
,ਉਕਸਾਹਟ,,اُکساہٹ,"noun, feminine","incitement, instigation, provocation"
,ਉੱਕਣਾ,,اُکّنا,"verb, intransitive","to overlook, omit, forget; to miss; to err, make a mistake, do something through forgetfulness or ignorance; also ਉੱਕ ਜਾਣਾ"
,ਉਕਤ,,اُکت,adjective,"the said, aforesaid, above mentioned, already mentioned"
,ਉਕਤਾਉਣਾ,,اُکتاؤنا,"verb, intransitive","to be fed up, tired of, bored, sick of; to feel irked, irritated or exasperated; to lose interest; to become indifferent"
,ਉਕਤਾਹਟ,,اُکتاہٹ,"noun, feminine","boredom, exasperation"
,ਉਕਤੀ,,اُکتی,"noun, feminine","speech, statement, saying, mark, aphorism"
,ਉਕਤੇਵਾਂ,,اُکتیواں,"noun, masculine","loss of interest, indifference"
